	Type	Color	Label	Sensitized	ColorSens
GSM1411137_A_2838_0h_Slide6-3_2_4-49.txt	noTx_0h	darkgreen	2838	y	darkolivegreen1
GSM1411138_A_2838_6h_A_Slide6-3_1_3-44.txt	HDM_6h	gold	2838	y	lightgoldenrod2
GSM1411139_A_2838_6h_S_Slide6-3_1_2-43.txt	saline_6h	orchid2	2838	y	orchid2
GSM1411140_A_2838_24h_A_Slide3-10_1_2-18.txt	HDM_24h	firebrick	2838	y	coral1
GSM1411141_A_2838_24h_S_Slide1-8_2_4-8.txt	saline_24h	darkblue	2838	y	royalblue1
GSM1411142_A_2839_0h_Slide7-2_1_3-51.txt	noTx_0h	darkgreen	2839	y	darkolivegreen1
GSM1411143_A_2839_6h_A_Slide7-2_1_1-46-2.txt	HDM_6h	gold	2839	y	lightgoldenrod2
GSM1411144_A_2839_6h_S_Slide6-3_1_4-45.txt	saline_6h	orchid2	2839	y	orchid2
GSM1411145_A_2839_24h_A_Slide8-1_2_1-14_2.txt	HDM_24h	firebrick	2839	y	coral1
GSM1411146_A_2839_24h_S_Slide2-9_2_1-13.txt	saline_24h	darkblue	2839	y	royalblue1
GSM1411147_A_2840_0h_Slide8-1_1_4-60.txt	noTx_0h	darkgreen	2840	y	darkolivegreen1
GSM1411148_A_2840_6h_A_Slide5-4_2_1-37.txt	HDM_6h	gold	2840	y	lightgoldenrod2
GSM1411149_A_2840_6h_S_Slide5-4_2_2-38.txt	saline_6h	orchid2	2840	y	orchid2
GSM1411150_A_2840_24h_A_Slide8-1_2_2-16_2.txt	HDM_24h	firebrick	2840	y	coral1
GSM1411151_A_2840_24h_S_Slide2-9_2_3-15.txt	saline_24h	darkblue	2840	y	royalblue1
GSM1411152_A_2841_0h_Slide8-1_1_3-59.txt	noTx_0h	darkgreen	2841	y	darkolivegreen1
GSM1411153_A_2841_6h_A_Slide5-4_1_3-35.txt	HDM_6h	gold	2841	y	lightgoldenrod2
GSM1411154_A_2841_6h_S_Slide5-4_1_4-36.txt	saline_6h	orchid2	2841	y	orchid2
GSM1411155_A_2841_24h_A_Slide2-9_1_4-12.txt	HDM_24h	firebrick	2841	y	coral1
GSM1411156_A_2841_24h_S_Slide3-10_2_4-24.txt	saline_24h	darkblue	2841	y	royalblue1
GSM1411157_A_2853_0h_Slide8-1_1_2-58.txt	noTx_0h	darkgreen	2853	y	darkolivegreen1
GSM1411158_A_2853_6h_A_Slide5-4_2_3-39.txt	HDM_6h	gold	2853	y	lightgoldenrod2
